title,genres
Stand and Deliver,Comedy
Moonstruck,Comedy
"Sandpiper, The",Drama
Jeremiah Johnson,Western
Repulsion,Drama
Irma la Douce,Comedy
42 Up,Documentary
Liberty Heights,Drama
Mansfield Park,Comedy
Sleepy Hollow,Fantasy
"World Is Not Enough, The",Action
All About My Mother (Todo sobre mi madre),Drama
Babes in Toyland,Children
Scrooged,Comedy
Harvey,Comedy
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),Drama
Matewan,Drama
Kagemusha,Drama
McCabe & Mrs. Miller,Drama
Maurice,Drama
"Grapes of Wrath, The",Drama
My Man Godfrey,Comedy
"Shop Around the Corner, The",Comedy
"Natural, The",Drama
Shampoo,Comedy
"River Runs Through It, A",Drama
Fatal Attraction,Drama
Jagged Edge,Crime
Stanley & Iris,Drama
Midnight Run,Action
Awakenings,Drama
Come See the Paradise,Drama
Backdraft,Action
"Fisher King, The",Comedy
"River, The",Drama
Places in the Heart,Drama
'night Mother,Drama
End of Days,Action
Toy Story 2,Adventure
Flawless,Drama
Ride with the Devil,Drama
"Distinguished Gentleman, The",Comedy
"End of the Affair, The",Drama
Holy Smoke,Comedy
Sweet and Lowdown,Comedy
Bonfire of the Vanities,Comedy
Daddy Long Legs,Comedy
Grand Illusion (La grande illusion),Drama
"Great Santini, The",Drama
Stealing Home,Drama
"Two Jakes, The",Drama
U2: Rattle and Hum,Documentary
Hell in the Pacific,Drama
Cradle Will Rock,Drama
Deuce Bigalow: Male Gigolo,Comedy
"Green Mile, The",Crime
"Cider House Rules, The",Drama
"War Zone, The",Drama
"Last Picture Show, The",Drama
"7th Voyage of Sinbad, The",Action
Anna and the King,Drama
Bicentennial Man,Drama
Stuart Little,Children
"Emperor and the Assassin, The (Jing ke ci qin wang)",Drama
Fantasia 2000,Animation
Magnolia,Drama
Onegin,Drama
Simpatico,Comedy
Topsy-Turvy,Comedy
Boiling Point,Action
Carnal Knowledge,Comedy
Easy Rider,Adventure
The Falcon and the Snowman,Crime
Room at the Top,Drama
Any Given Sunday,Drama
Man on the Moon,Comedy
Galaxy Quest,Adventure
"Talented Mr. Ripley, The",Drama
Next Friday,Comedy
"Hurricane, The",Drama
Angela's Ashes,Drama
Titus,Drama
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Documentary
"Third Miracle, The",Drama
Snow Falling on Cedars,Drama
"Girl, Interrupted",Drama
My Dog Skip,Children
Supernova,Adventure
"Terrorist, The (a.k.a. Malli) (Theeviravaathi)",Drama
"Way We Were, The",Drama
Stalag 17,Drama
"Presidio, The",Action
Papillon,Crime
"Last Detail, The",Comedy
Five Easy Pieces,Drama
Dead Calm,Thriller
"Boys from Brazil, The",Action
Against All Odds,Romance
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),Action
Fast Times at Ridgemont High,Comedy
"Cry in the Dark, A",Drama
Batman: Mask of the Phantasm,Animation
American Flyers,Drama
"Star Is Born, A",Drama
Pacific Heights,Mystery
"Draughtsman's Contract, The",Drama
"Zed & Two Noughts, A",Drama
Woman in the Dunes (Suna no onna),Drama
Down to You,Comedy
"Odessa File, The",Thriller
Where the Buffalo Roam,Comedy
Eye of the Beholder,Thriller
"Big Tease, The",Comedy
"Cup, The (Phörpa)",Comedy
Encino Man,Comedy
"Goodbye Girl, The",Comedy
Malcolm X,Drama
Sister Act,Comedy
Sister Act 2: Back in the Habit,Comedy
"Hand That Rocks the Cradle, The",Drama
Alive,Drama
Agnes of God,Drama
Scent of a Woman,Drama
Wayne's World,Comedy
Wayne's World 2,Comedy
"League of Their Own, A",Comedy
Patriot Games,Action
"Bodyguard, The",Drama
Death Becomes Her,Comedy
Far and Away,Adventure
Howards End,Drama
Singles,Comedy
Twin Peaks: Fire Walk with Me,Crime
White Men Can't Jump,Comedy
Buffy the Vampire Slayer,Action
Hard-Boiled (Lat sau san taam),Action
Man Bites Dog (C'est arrivé près de chez vous),Comedy
"Mariachi, El",Action
Stop! Or My Mom Will Shoot,Action
Forever Young,Drama
"Cutting Edge, The",Comedy
Of Mice and Men,Drama
Bad Lieutenant,Crime
Scream 3,Comedy
Single White Female,Drama
"Boondock Saints, The",Action
Gun Shy,Comedy
"Baby, The",Horror
"Brandon Teena Story, The",Documentary
Minnie and Moskowitz,Action
They Might Be Giants,Comedy
"Beach, The",Adventure
Snow Day,Comedy
"Tigger Movie, The",Animation
Not One Less (Yi ge dou bu neng shao),Drama
Eaten Alive,Horror
Raining Stones,Drama
To Sir with Love,Drama
Boiler Room,Crime
Hanging Up,Comedy
Pitch Black,Horror
"Whole Nine Yards, The",Comedy
Beautiful People,Comedy
Black Tar Heroin: The Dark End of the Street,Documentary
"Circus, The",Comedy
City Lights,Comedy
"Flamingo Kid, The",Comedy
"Kid, The",Comedy
Class Reunion,Comedy
Happy Go Lovely,Musical
Reindeer Games,Action
Wonder Boys,Comedy
Chain of Fools,Comedy
Drowning Mona,Comedy
"Next Best Thing, The",Comedy
What Planet Are You From?,Comedy
Beyond the Mat,Documentary
Ghost Dog: The Way of the Samurai,Crime
The Year My Voice Broke,Drama
Splendor in the Grass,Drama
My Tutor,Drama
Key Largo,Crime
For All Mankind,Documentary
Born Yesterday,Comedy
Birdy,Drama
Blood Feast,Horror
"Charlie, the Lonesome Cougar",Adventure
Never Cry Wolf,Adventure
"Raisin in the Sun, A",Drama
"Closer You Get, The",Comedy
Mission to Mars,Sci-Fi
"Ninth Gate, The",Fantasy
East-West (Est-ouest),Drama
Defending Your Life,Comedy
Breaking Away,Comedy
Hoosiers (a.k.a. Best Shot),Drama
Bull Durham,Comedy
Dog Day Afternoon,Crime
American Graffiti,Comedy
"Asphalt Jungle, The",Crime
"Searchers, The",Drama
"Big Country, The",Romance
Betrayed,Drama
"Bridge at Remagen, The",Action
Daughters of the Dust,Drama
"Ogre, The (Unhold, Der)",Drama
On the Beach,Drama
"Taking of Pelham One Two Three, The",Action
Volunteers,Comedy
JFK,Drama
Who's Harry Crumb?,Comedy
Harry and the Hendersons,Children
Let's Get Harry,Action
Shanghai Surprise,Adventure
Who's That Girl?,Comedy
She-Devil,Comedy
Date with an Angel,Comedy
Blind Date,Comedy
Nadine,Comedy
"Muppet Movie, The",Adventure
"Great Muppet Caper, The",Children
"Muppets Take Manhattan, The",Children
We're Back! A Dinosaur's Story,Adventure
Baby... Secret of the Lost Legend,Adventure
Turtle Diary,Comedy
Raise the Titanic,Drama
Titanic,Action
"Night to Remember, A",Action
Captain Horatio Hornblower R.N.,Action
Erin Brockovich,Drama
Final Destination,Drama
Soft Fruit,Comedy
"Bear, The (Ours, L')",Adventure
Love Is a Many-Splendored Thing,Drama
"Mirror, The (Zerkalo)",Drama
"Crimson Pirate, The",Adventure
Thelma & Louise,Adventure
...And Justice for All,Drama
Animal House,Comedy
She's Gotta Have It,Comedy
School Daze,Drama
Do the Right Thing,Drama
Mo' Better Blues,Drama
Jungle Fever,Drama
"Champ, The",Drama
Creature Comforts,Animation
Death Wish,Action
Death Wish 2,Action
Death Wish 3,Action
Death Wish 4: The Crackdown,Action
Death Wish 5: The Face of Death,Action
Double Indemnity,Crime
Dying Young,Drama
Teenage Mutant Ninja Turtles,Action
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Action
Teenage Mutant Ninja Turtles III,Action
Red Dawn,Action
Band of the Hand,Action
Bloodsport,Action
Eyes of Laura Mars,Mystery
Funny Bones,Comedy
"Good Earth, The",Drama
"Good Morning, Vietnam",Comedy
"Good Mother, The",Drama
Grumpy Old Men,Comedy
Guess Who's Coming to Dinner,Drama
Romeo Must Die,Action
Here on Earth,Drama
Whatever It Takes,Comedy
Buddy Boy,Drama
"Color of Paradise, The (Rang-e khoda)",Drama
Gothic,Drama
Lord of the Flies,Adventure
Modern Times,Comedy
Heart and Souls,Comedy
Hud,Drama
"Hustler, The",Drama
Inherit the Wind,Drama
Dersu Uzala,Adventure
Close Encounters of the Third Kind,Adventure
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),Comedy
Retroactive,Sci-Fi
"Place in the Sun, A",Drama
Jacob's Ladder,Horror
Empire Records,Comedy
"Bamba, La",Drama
Ladyhawke,Adventure
Lucas,Drama
High Fidelity,Comedy
"Road to El Dorado, The",Animation
"Skulls, The",Thriller
Hook,Adventure
"Son of the Sheik, The",Adventure
True Grit,Adventure
Madame Sousatzka,Drama
Max Dugan Returns,Comedy
Midnight Express,Drama
Misery,Drama
Mr. Saturday Night,Comedy
Murphy's Romance,Comedy
My Life,Drama
Solaris (Solyaris),Drama
Network,Comedy
No Way Out,Drama
North Dallas Forty,Comedy
"Odd Couple, The",Comedy
"Outlaw Josey Wales, The",Action
Frequency,Drama
Ready to Rumble,Comedy
Return to Me,Drama
Rules of Engagement,Drama
Joe Gould's Secret,Drama
Me Myself I,Comedy
"Bell, Book and Candle",Comedy
Force 10 from Navarone,Action
Mystery Train,Comedy
Arthur,Comedy
Bachelor Party,Comedy
Parenthood,Comedy
Predator,Action
"Prince of Tides, The",Drama
"Postman Always Rings Twice, The",Crime
All the Vermeers in New York,Comedy
28 Days,Drama
American Psycho,Crime
Keeping the Faith,Comedy
Where the Money Is,Comedy
East is East,Comedy
"Filth and the Fury, The",Documentary
Diner,Comedy
Shakes the Clown,Comedy
Cabaret,Drama
What Ever Happened to Baby Jane?,Drama
Auntie Mame,Comedy
Guys and Dolls,Comedy
The Hunger,Horror
Marathon Man,Crime
Caddyshack,Comedy
Gossip,Drama
Love and Basketball,Drama
U-571,Action
"Virgin Suicides, The",Drama
Jennifer 8,Mystery
Limelight,Comedy
"Crow: Salvation, The",Action
"Flintstones in Viva Rock Vegas, The",Children
Where the Heart Is,Comedy
"Big Kahuna, The",Comedy
Bossa Nova,Comedy
Smiling Fish and Goat on Fire,Comedy
"Idiots, The (Idioterne)",Comedy
Time Code,Comedy
Carnosaur,Horror
Carnosaur 2,Horror
Carnosaur 3: Primal Species,Horror
"Hidden, The",Action
Two Moon Junction,Drama
Gladiator,Action
Up at the Villa,Drama
Human Traffic,Comedy
Breathless,Action
The Idolmaker,Drama
Inferno,Horror
"Lords of Flatbush, The",Comedy
Mr. Mom,Comedy
"Time Masters (Maîtres du temps, Les)",Animation
Battlefield Earth,Action
Center Stage,Drama
Screwed,Comedy
Whipped,Comedy
Hamlet,Crime
Anchors Aweigh,Comedy
Gypsy,Musical
On the Town,Comedy
Pee-wee's Big Adventure,Adventure
Regret to Inform,Documentary
Honeymoon in Vegas,Comedy
Dinosaur,Adventure
Loser,Comedy
Road Trip,Comedy
Small Time Crooks,Comedy
"Hollywood Knights, The",Comedy
"Twelve Chairs, The",Comedy
Mission: Impossible II,Action
Shanghai Noon,Action
Better Living Through Circuitry,Documentary
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),Comedy
Carnival of Souls,Horror
Flying Tigers,Action
"Gold Rush, The",Adventure
Monsieur Verdoux,Comedy
On Her Majesty's Secret Service,Action
Seven Days in May,Thriller
"Spy Who Loved Me, The",Action
Vagabond (Sans toit ni loi),Drama
Moonraker,Action
"Man with the Golden Gun, The",Action
"King in New York, A",Comedy
"Woman of Paris, A",Drama
"Fighting Seabees, The",Action
Big Momma's House,Comedy
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The)",Horror
American Gigolo,Drama
"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi)",Horror
"Endless Summer, The",Documentary
"Guns of Navarone, The",Action
Blow-Out (La grande bouffe),Drama
Quatermass and the Pit,Horror
Puppet Master,Horror
Puppet Master II,Horror
Puppet Master III: Toulon's Revenge,Horror
Puppet Master 4,Horror
Puppet Master 5: The Final Chapter,Horror
Rent-A-Cop,Action
Romeo and Juliet,Drama
Stay Tuned,Comedy
Blazing Saddles,Comedy
Benji,Adventure
Benji the Hunted,Adventure
For the Love of Benji,Adventure
White Christmas,Comedy
Eraserhead,Drama
Baraka,Documentary
"Man with the Golden Arm, The",Drama
"Decline of Western Civilization, The",Documentary
"Decline of Western Civilization Part II: The Metal Years, The",Documentary
For a Few Dollars More (Per qualche dollaro in più),Action
Magnum Force,Action
Blood Simple,Crime
"Fabulous Baker Boys, The",Drama
Prizzi's Honor,Comedy
Flatliners,Horror
Light Years (Gandahar),Adventure
Porky's,Comedy
Porky's II: The Next Day,Comedy
Porky's Revenge,Comedy
Private School,Comedy
Class of Nuke 'Em High,Comedy
"Toxic Avenger, The",Comedy
"Toxic Avenger, Part II, The",Comedy
"Toxic Avenger Part III: The Last Temptation of Toxie, The",Comedy
Night of the Creeps,Comedy
Predator 2,Action
"Running Man, The",Action
Starman,Adventure
"Brother from Another Planet, The",Drama
Alien Nation,Crime
Mad Max,Action
"Road Warrior, The (Mad Max 2)",Action
Mad Max Beyond Thunderdome,Action
Bird on a Wire,Action
Angel Heart,Film-Noir
9 1/2 Weeks (Nine 1/2 Weeks),Drama
Firestarter,Horror
Sleepwalkers,Horror
Action Jackson,Action
Sarafina!,Drama
Soapdish,Comedy
"Long Walk Home, The",Drama
Clara's Heart,Drama
Burglar,Comedy
Fatal Beauty,Action
Gone in 60 Seconds,Action
Love's Labour's Lost,Comedy
Sunshine,Drama
Hamlet,Drama
Coming Home,Drama
American Pop,Animation
Assault on Precinct 13,Action
Near Dark,Horror
One False Move,Crime
Shaft,Action
"Conversation, The",Drama
Cutter's Way,Drama
"Fury, The",Horror
"Paper Chase, The",Drama
Serpico,Crime
"Ace in the Hole (Big Carnival, The)",Drama
Lonely Are the Brave,Drama
"Sugarland Express, The",Drama
Trouble in Paradise,Comedy
Big Trouble in Little China,Action
Badlands,Crime
Battleship Potemkin,Drama
Boys and Girls,Comedy
Shaft,Action
Titan A.E.,Action
Butterfly (La lengua de las mariposas),Drama
Jesus' Son,Drama
Chicken Run,Animation
"Me, Myself & Irene",Adventure
"Patriot, The",Action
"Adventures of Rocky and Bullwinkle, The",Adventure
"Perfect Storm, The",Drama
"Golden Bowl, The",Drama
Communion,Drama
"Kentucky Fried Movie, The",Comedy
"Blood In, Blood Out",Action
F/X,Action
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),Action
"Hot Spot, The",Crime
Missing in Action,Action
Missing in Action 2: The Beginning,Action
Braddock: Missing in Action III,Action
Thunderbolt and Lightfoot,Action
Dreamscape,Horror
The Golden Voyage of Sinbad,Action
House Party,Comedy
House Party 2,Comedy
Croupier,Crime
"Kid, The",Comedy
Scary Movie,Comedy
But I'm a Cheerleader,Comedy
Shower (Xizao),Comedy
Blow-Up (Blowup),Drama
"Pawnbroker, The",Drama
Groove,Drama
Footloose,Drama
Duel in the Sun,Drama
X-Men,Action
Chuck & Buck,Comedy
"Five Senses, The",Drama
"In Crowd, The",Thriller
What Lies Beneath,Drama
Pokémon the Movie 2000,Animation
Anatomy of a Murder,Drama
Freejack,Action
Mackenna's Gold,Western
Sinbad and the Eye of the Tiger,Adventure
"Two Women (Ciociara, La)",Drama
What About Bob?,Comedy
White Sands,Drama
Breaker Morant,Drama
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy
Interiors,Drama
Love and Death,Comedy
"Official Story, The (La historia oficial)",Drama
Tampopo,Comedy
Nutty Professor II: The Klumps,Comedy
"Girl on the Bridge, The (Fille sur le pont, La)",Drama
Wonderland,Drama
Autumn in New York,Drama
Coyote Ugly,Comedy
Hollow Man,Horror
Space Cowboys,Action
Psycho Beach Party,Comedy
Saving Grace,Comedy
"Black Sabbath (Tre volti della paura, I)",Horror
"Brain That Wouldn't Die, The",Horror
Bronco Billy,Adventure
"Crush, The",Thriller
Kelly's Heroes,Action
Phantasm II,Action
Phantasm III: Lord of the Dead,Horror
Phantasm IV: Oblivion,Horror
Pumpkinhead,Horror
Air America,Action
Sleepaway Camp,Horror
Steel Magnolias,Drama
And God Created Woman (Et Dieu... créa la femme),Drama
Easy Money,Comedy
"Ilsa, She Wolf of the SS",Horror
The Spiral Staircase,Horror
I'm the One That I Want,Comedy
"Tao of Steve, The",Comedy
"Affair of Love, An (Liaison pornographique, Une)",Drama
Bless the Child,Thriller
Cecil B. DeMented,Comedy
"Eyes of Tammy Faye, The",Documentary
"Replacements, The",Comedy
About Adam,Comedy
"Cell, The",Drama
Godzilla 2000 (Gojira ni-sen mireniamu),Action
"Original Kings of Comedy, The",Comedy
"Naked Gun: From the Files of Police Squad!, The",Action
"Naked Gun 2 1/2: The Smell of Fear, The",Comedy
Our Town,Drama
Shane,Drama
"Suddenly, Last Summer",Drama
Cat Ballou,Comedy
Supergirl,Action
"Art of War, The",Action
Bring It On,Comedy
"Crew, The",Comedy
Skipped Parts,Drama
Highlander: Endgame (Highlander IV),Action
Nurse Betty,Comedy
Solas,Drama
"Watcher, The",Crime
"Way of the Gun, The",Crime
Almost Famous,Drama
Bait,Action
Circus,Crime
Crime and Punishment in Suburbia,Comedy
Duets,Comedy
Under Suspicion,Crime
Urban Legends: Final Cut,Horror
Woman on Top,Comedy
Dancer in the Dark,Drama
Best in Show,Comedy
Beautiful,Comedy
"Broken Hearts Club, The",Drama
Girlfight,Drama
Remember the Titans,Drama
Hellraiser,Horror
Hellbound: Hellraiser II,Horror
Hellraiser III: Hell on Earth,Horror
"Faraway, So Close (In weiter Ferne, so nah!)",Drama
Bikini Beach,Comedy
Stranger Than Paradise,Comedy
Voyage to the Bottom of the Sea,Adventure
Fantastic Voyage,Adventure
Abbott and Costello Meet Frankenstein,Comedy
"Bank Dick, The",Comedy
"Creature from the Black Lagoon, The",Adventure
"Invisible Man, The",Horror
"Killer Shrews, The",Horror
Runaway,Sci-Fi
"Slumber Party Massacre, The",Horror
Slumber Party Massacre II,Horror
Slumber Party Massacre III,Horror
Sorority House Massacre,Horror
Sorority House Massacre II,Horror
Bamboozled,Comedy
Digimon: The Movie,Adventure
Get Carter,Action
Get Carter,Action
Meet the Parents,Comedy
Requiem for a Dream,Drama
Tigerland,Drama
Two Family House,Drama
"Contender, The",Drama
Dr. T and the Women,Comedy
"Ladies Man, The",Comedy
Billy Jack,Action
Billy Jack Goes to Washington,Drama
"Time Machine, The",Action
Ghoulies II,Comedy
"Unsinkable Molly Brown, The",Musical
"Adventures of Ichabod and Mr. Toad, The",Animation
"Strange Love of Martha Ivers, The",Drama
Detour,Crime
Billy Elliot,Drama
Bedazzled,Comedy
Pay It Forward,Drama
"Private Eyes, The",Comedy
"Legend of Drunken Master, The (Jui kuen II)",Action
Book of Shadows: Blair Witch 2,Crime
"Little Vampire, The",Adventure
Charlie's Angels,Action
"Legend of Bagger Vance, The",Drama
Little Nicky,Comedy
Men of Honor,Drama
Red Planet,Action
You Can Count on Me,Drama
Diamonds Are Forever,Action
"Eagle Has Landed, The",Drama
"6th Day, The",Action
Bounce,Drama
How the Grinch Stole Christmas (a.k.a. The Grinch),Children
One Day in September,Documentary
Rugrats in Paris: The Movie,Animation
102 Dalmatians,Children
Malèna,Drama
Quills,Drama
Unbreakable,Drama
"Crouching Tiger, Hidden Dragon (Wo hu cang long)",Action
Dungeons & Dragons,Action
Proof of Life,Drama
Vertical Limit,Action
"Bounty, The",Adventure
"Planes, Trains & Automobiles",Comedy
She's Having a Baby,Comedy
"Living Daylights, The",Action
Transformers: The Movie,Adventure
Wall Street,Drama
Born on the Fourth of July,Drama
Talk Radio,Drama
Brewster's Millions,Comedy
Snatch,Comedy
Punchline,Comedy
Chocolat,Drama
"Dude, Where's My Car?",Comedy
"Emperor's New Groove, The",Adventure
Pollock,Drama
What Women Want,Comedy
Finding Forrester,Drama
"Gift, The",Thriller
Before Night Falls,Drama
Cast Away,Drama
"Family Man, The",Comedy
"House of Mirth, The",Romance
Miss Congeniality,Comedy
"O Brother, Where Art Thou?",Adventure
State and Main,Comedy
Dracula 2000,Horror
All the Pretty Horses,Drama
"Everlasting Piece, An",Comedy
Thirteen Days,Drama
Traffic,Crime
"Claim, The",Romance
Shadow of the Vampire,Drama
House of Games,Crime
Annie,Children
Don't Tell Mom the Babysitter's Dead,Comedy
"Officer and a Gentleman, An",Drama
"Alamo, The",Action
At Close Range,Crime
Friendly Persuasion,Drama
Gettysburg,Drama
Horrors of Spider Island (Ein Toter Hing im Netz),Horror
Antitrust,Crime
Double Take,Action
Save the Last Dance,Drama
Panic,Drama
"Pledge, The",Crime
The Man in the Moon,Drama
Mystic Pizza,Comedy
Prelude to a Kiss,Comedy
Coffy,Action
Foxy Brown,Action
I'm Gonna Git You Sucka,Action
Untamed Heart,Drama
Sugar & Spice,Comedy
"Wedding Planner, The",Comedy
"Legend of Rita, The (Stille nach dem Schuß, Die)",Drama
"With a Friend Like Harry... (Harry, un ami qui vous veut du bien)",Drama
Amazing Grace and Chuck,Drama
Amazon Women on the Moon,Comedy
Baby Boom,Comedy
Back to the Beach,Comedy
Barfly,Comedy
Best Seller,Thriller
Beverly Hills Cop II,Action
Beverly Hills Cop,Action
"Big Easy, The",Action
Born in East L.A.,Comedy
"Brave Little Toaster, The",Animation
Can't Buy Me Love,Comedy
Cherry 2000,Romance
Cop,Thriller
Eddie Murphy Raw,Comedy
Empire of the Sun,Action
Ernest Goes to Camp,Comedy
"Evil Dead, The",Fantasy
Flowers in the Attic,Drama
"Fourth Protocol, The",Thriller
Gardens of Stone,Drama
"Glass Menagerie, The",Drama
Hiding Out,Comedy
Hollywood Shuffle,Comedy
Hope and Glory,Drama
Innerspace,Action
Ishtar,Comedy
Jaws: The Revenge,Horror
Leonard Part 6,Comedy
Less Than Zero,Drama
"Like Father, Like Son",Comedy
"Lost Boys, The",Comedy
Made in Heaven,Fantasy
Maid to Order,Comedy
Making Mr. Right,Comedy
Mannequin,Comedy
Masters of the Universe,Action
"Monster Squad, The",Adventure
My Demon Lover,Comedy
No Man's Land,Crime
Head Over Heels,Comedy
Left Behind: The Movie,Action
Valentine,Horror
In the Mood For Love (Fa yeung nin wa),Drama
"Million Dollar Hotel, The",Drama
Nico and Dani (Krámpack),Comedy
Hannibal,Horror
Saving Silverman (Evil Woman),Comedy
Vatel,Drama
Down to Earth,Comedy
Recess: School's Out,Animation
Sweet November,Drama
Company Man,Comedy
"Price of Milk, The",Comedy
Monkeybone,Animation
3000 Miles to Graceland,Action
"Widow of St. Pierre, The (Veuve de Saint-Pierre, La)",Drama
"Mexican, The",Action
"Caveman's Valentine, The",Drama
Series 7: The Contenders,Action
15 Minutes,Thriller
Get Over It,Comedy
Long Night's Journey Into Day,Documentary
Avalon,Drama
Gray's Anatomy,Comedy
Of Mice and Men,Drama
Reform School Girls,Action
Tapeheads,Comedy
"Bishop's Wife, The",Comedy
Lilies of the Field,Drama
"Greatest Story Ever Told, The",Drama
Elmer Gantry,Drama
Alfie,Comedy
"Fantasticks, The",Musical
I Know Where I'm Going!,Drama
"Abominable Dr. Phibes, The",Horror
Real Life,Comedy
Battle Beyond the Stars,Sci-Fi
Double Impact,Action
Fuzz,Drama
Harley Davidson and the Marlboro Man,Action
Losin' It,Comedy
Mermaids,Comedy
Navy Seals,Action
Manhunter,Action
Reversal of Fortune,Drama
Death on the Nile,Crime
Revenge of the Nerds,Comedy
Revenge of the Nerds II: Nerds in Paradise,Comedy
4 Little Girls,Documentary
River's Edge,Crime
Girls Just Want to Have Fun,Comedy
"Longest Yard, The",Comedy
Necessary Roughness,Comedy
Enemy at the Gates,Drama
Exit Wounds,Action
"Dish, The",Comedy
Memento,Mystery
Heartbreakers,Comedy
Say It Isn't So,Comedy
Someone Like You,Comedy
Spy Kids,Action
Tomcats,Comedy
"Tailor of Panama, The",Drama
Amores Perros (Love's a Bitch),Drama
Keep the River on Your Right: A Modern Cannibal Tale,Documentary
"Gleaners & I, The (Les glaneurs et la glaneuse)",Documentary
Along Came a Spider,Action
Blow,Crime
Just Visiting,Comedy
Pokémon 3: The Movie,Animation
Beautiful Creatures,Comedy
Brigham City,Crime
Bridget Jones's Diary,Comedy
Joe Dirt,Adventure
Josie and the Pussycats,Comedy
Chopper,Drama
"Circle, The (Dayereh)",Drama
Crocodile Dundee in Los Angeles,Comedy
Freddy Got Fingered,Comedy
"Center of the World, The",Drama
"Luzhin Defence, The",Drama
"Visit, The",Drama
Scarface,Action
Days of Wine and Roses,Drama
Driven,Action
One Night at McCool's,Comedy
Town & Country,Comedy
"Mummy Returns, The",Action
Under the Sand,Drama
Krull,Action
Lost in America,Comedy
Triumph of the Will (Triumph des Willens),Documentary
"World According to Garp, The",Comedy
Fellini Satyricon,Drama
Frankie and Johnny,Comedy
Frankie and Johnny,Comedy
"City of Women, The (Città delle donne, La)",Comedy
For the Boys,Comedy
Nine to Five (a.k.a. 9 to 5),Comedy
Norma Rae,Drama
Summer Rental,Comedy
"5,000 Fingers of Dr. T, The",Children
Love Story,Drama
Pelle the Conqueror (Pelle erobreren),Drama
Rififi (Du rififi chez les hommes),Crime
"Knight's Tale, A",Action
Bread and Roses,Drama
Startup.com,Documentary
Angel Eyes,Romance
Shrek,Adventure
"Fast Food, Fast Women",Comedy
Moulin Rouge,Drama
Pearl Harbor,Action
Himalaya (Himalaya - l'enfance d'un chef),Adventure
"Man Who Cried, The",Drama
Ice Castles,Drama
Love Potion #9,Comedy
City Slickers,Comedy
Eight Men Out,Drama
"Horse Soldiers, The",Adventure
"Night, The (Notte, La)",Drama
Mississippi Burning,Crime
"Magnificent Seven, The",Adventure
Rio Bravo,Western
Throw Momma from the Train,Comedy
Yi Yi,Drama
"Sand Pebbles, The",Drama
Twelve O'Clock High,Drama
Von Ryan's Express,Action
"Animal, The",Comedy
Big Eden,Drama
Evolution,Comedy
Swordfish,Action
"Anniversary Party, The",Drama
Divided We Fall (Musíme si pomáhat),Comedy
Catch-22,Comedy
Forgotten Silver,Comedy
Point Break,Action
Uncommon Valor,Action
Unlawful Entry,Crime
Youngblood,Action
Gentlemen Prefer Blondes,Comedy
How to Marry a Millionaire,Comedy
"Seven Year Itch, The",Comedy
Tootsie,Comedy
Atlantis: The Lost Empire,Adventure
Lara Croft: Tomb Raider,Action
Dr. Dolittle 2,Comedy
"Fast and the Furious, The",Action
A.I. Artificial Intelligence,Adventure
Baby Boy,Crime
Crazy/Beautiful,Drama
Pootie Tang,Comedy
Let It Snow,Comedy
Sexy Beast,Crime
"Princess and the Warrior, The (Krieger und die Kaiserin, Der)",Drama
"Closet, The (Placard, Le)",Comedy
"Crimson Rivers, The (Rivières pourpres, Les)",Crime
Lumumba,Drama
Cats & Dogs,Children
Kiss of the Dragon,Action
Scary Movie 2,Comedy
Lost and Delirious,Drama
Rape Me (Baise-moi),Crime
Alice,Comedy
Another Woman,Drama
Beach Blanket Bingo,Comedy
Big Deal on Madonna Street (I Soliti Ignoti),Comedy
"Cannonball Run, The",Action
Cannonball Run II,Action
"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",Comedy
Dr. Goldfoot and the Bikini Machine,Comedy
"Fall of the House of Usher, The (House of Usher)",Horror
Faust,Drama
"Man Who Shot Liberty Valance, The",Crime
Salvador,Drama
September,Drama
Shadows and Fog,Comedy
Something Wild,Comedy
"Thing with Two Heads, The",Comedy
All That Heaven Allows,Drama
"Barefoot Contessa, The",Drama
Cries and Whispers (Viskningar och rop),Drama
"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il)",Drama
Kiss Me Deadly,Film-Noir
"Lion in Winter, The",Drama
"Misfits, The",Comedy
Moby Dick,Drama
Sweet Smell of Success,Drama
Written on the Wind,Drama
"10th Victim, The (La decima vittima)",Action
Obsession,Mystery
Suspiria,Horror
"Fist of Fury (Chinese Connection, The) (Jing wu men)",Action
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),Drama
"Big Boss, The (Fists of Fury) (Tang shan da xiong)",Action
Game of Death,Action
"Last Dragon, The",Action
Outland,Action
